Op	System_1 time per call	System_2 time per call	Time ratio Sys1/Sys2 (one call)	System_1 total op time	System_2 total op time	Time ratio Sys1/Sys2 (all calls)	System_1 occurence	System_2 occurence	Occurence Ratio	System1 cumulative time	System1 % of total time 	System1 cumulative % of total time 	System2 cumulative time	System2 % of total time 	System2 cumulative % of total time 
Pack@GPU-0@(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)(1x1)->(7x1)	62.16	58.23	1.0674909840288511	62.16	58.23	1.0674909840288511	1.00	1.00	1.0	7912.55	0.0070438256041247625	0.8966316326241535	7872.170000000002	0.006596043053821807	0.8917254378671545
L2Loss@GPU-0@(200x10000)->(1x1)	58.89	59.29	0.9932534997470063	58.89	59.29	0.9932534997470063	1.00	1.00	1.0	7971.4400000000005	0.006673276863367234	0.9033049094875207	7931.460000000002	0.006716115278397646	0.8984415531455522
ScatterSub@CPU-0@(10000x200)(int32 400x1)(400x200)->(10000x200)	58.39	55.68	1.0486709770114944	58.39	55.68	1.0486709770114944	1.00	1.00	1.0	8029.830000000001	0.006616618034505227	0.9099215275220259	7987.140000000002	0.00630719006073842	0.9047487432062906
AddN@GPU-0@(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)(20x20x200)->(20x20x200)	56.37	56.31	1.0010655301012252	56.37	56.31	1.0010655301012252	1.00	1.00	1.0	8086.200000000001	0.006387716365902717	0.9163092438879287	8043.450000000003	0.006378553741382551	0.9111272969476731
ApplyGradientDescent@GPU-0@(400x800)(1x1)(400x800)->(400x800)	27.08	27.29	0.9923048735800659	54.16	54.57	0.992486714311893	2.00	2.00	1.0	8140.360000000001	0.006137284342332644	0.9224465282302613	8098.020000000002	0.006181454051984475	0.9173087509996576
MEMCPYDtoH@GPU-0@(Transfer)->(320000 bytes)	39.92	39.04	1.0225409836065575	39.92	39.04	1.0225409836065575	1.00	1.00	1.0	8180.280000000001	0.004523640896342673	0.926970169126604	8137.060000000002	0.004422282686264869	0.9217310336859225
L2Loss@GPU-0@(400x800)->(1x1)	19.93	20.14	0.9895729890764647	39.86	40.29	0.9893273765202284	2.00	2.00	1.0	8220.140000000001	0.0045168418368792315	0.9314870109634833	8177.350000000002	0.00456387729071751	0.92629491097664
StridedSlice@GPU-0@(20x20x200)(1|2|3x1)(int32 3x1)(1|2|3x1)->(20x200)	1.99	2.08	0.9567307692307692	37.76	39.50	0.9559493670886076	19.00	19.00	1.0	8257.900000000001	0.0042788747556588005	0.9357658857191421	8216.850000000002	0.004474389500703441	0.9307693004773434
Mul@GPU-0@(400x800)(1x1)->(400x800)	15.97	15.95	1.001253918495298	31.94	31.90	1.001253918495298	2.00	2.00	1.0	8289.840000000002	0.0036193659877050343	0.9393852517068472	8248.750000000002	0.003613494305631386	0.9343827947829748
QueueDequeueV2@CPU-0@(tf_resource 1x1)->(int32 1x1)	27.63	47.57	0.5808282531006936	27.63	47.57	0.5808282531006936	1.00	1.00	1.0	8317.470000000001	0.00313096688291453	0.9425162185897616	8296.320000000002	0.005388524267049688	0.9397713190500245
