Op	System_1 time per call	System_2 time per call	Time ratio Sys1/Sys2 (one call)	System_1 total op time	System_2 total op time	Time ratio Sys1/Sys2 (all calls)	System_1 occurence	System_2 occurence	Occurence Ratio	System1 cumulative time	System1 % of total time 	System1 cumulative % of total time 	System2 cumulative time	System2 % of total time 	System2 cumulative % of total time 
TensorArrayScatterV3@GPU-0@(tf_resource 1x1)(1x1)(int32 49x1)(49x128x128)(1x1)->(1x1)	192.25	193.04	0.995907583920431	46.14	46.33	0.995898985538528	0.24	0.24	1.0	126331.14000000013	0.00035120128880368945	0.9615877586484469	127846.65999999995	0.00034648904808921036	0.9561292364512174
Shape@GPU-0@(128x39)->(int32 2x1)	82.07	90.98	0.9020663882171904	45.96	50.95	0.9020608439646712	0.56	0.56	1.0	126377.10000000014	0.00034983119274853853	0.9619375898411955	127897.60999999994	0.00038104072955202396	0.9565102771807694
NextIteration@GPU-0@(128x128)(int32 1x1)->(128x128)	44.29	37.45	1.1826435246995994	44.29	37.45	1.1826435246995994	1.00	1.00	1.0	126421.39000000013	0.0003371197460146382	0.9622747095872102	127935.05999999994	0.00028007802397886746	0.9567903552047483
Reshape@GPU-0@(128x1x128)(int32 2x1)->(128x128)	42.83	44.24	0.9681283905967449	42.83	44.24	0.9681283905967449	1.00	1.00	1.0	126464.22000000013	0.0003260067446784139	0.9626007163318886	127979.29999999994	0.0003308585255226995	0.957121213730271
TensorArrayGatherV3@GPU-0@(tf_resource 1x1)(1x1)(int32 9x1)(1x1)->(9x128x128)	96.18	97.20	0.9895061728395063	42.32	42.77	0.9894786064998831	0.44	0.44	1.0	126506.54000000014	0.0003221248058554863	0.9629228411377441	128022.06999999995	0.0003198648086936225	0.9574410785389647
Sum@GPU-0@(128x256)(int32 1x1)(int32 2x1)->(128x256)	41.97	42.75	0.9817543859649123	41.97	42.75	0.9817543859649123	1.00	1.00	1.0	126548.51000000014	0.0003194607301926928	0.9632423018679368	128064.81999999995	0.00031971523431499556	0.9577607937732796
Sum@GPU-0@(128x256)(int32 1x1)(int32 1x1)->(128x256)	41.25	42.62	0.9678554669169405	41.25	42.62	0.9678554669169405	1.00	1.00	1.0	126589.76000000014	0.0003139803459720891	0.9635562822139089	128107.43999999994	0.0003187430008539207	0.9580795367741335
Shape@GPU-0@(128x50)->(int32 2x1)	114.06	112.22	1.0163963642844414	41.06	40.40	1.0163366336633664	0.36	0.36	1.0	126630.82000000014	0.0003125341334694298	0.9638688163473783	128147.83999999994	0.00030214024482633494	0.9583816770189598
IteratorGetNext@CPU-0@(tf_resource 1x1)->(int32 128x49)(int32 128x46)(int32 128x46)(int32 128x1)(int32 128x1)	4086.00	5362.00	0.762029093621783	40.86	53.62	0.762029093621783	0.01	0.01	1.0	126671.68000000014	0.00031101180451926206	0.9641798281518976	128201.45999999993	0.0004010089090987149	0.9587826859280585
Switch@GPU-0@(boolean 128x1)(int32 1x1)(boolean 1x1)->(boolean 128x1)	40.38	45.68	0.8839754816112084	40.38	45.68	0.8839754816112084	1.00	1.00	1.0	126712.06000000014	0.0003073582150388596	0.9644871863669365	128247.13999999993	0.00034162788078383617	0.9591243138088423
Select@GPU-0@(boolean 128x29)(128x29)(128x29)->(128x29)	86.28	292.13	0.2953479615239791	39.69	134.38	0.2953564518529543	0.46	0.46	1.0	126751.75000000015	0.00030210618016078094	0.9647892925470973	128381.51999999993	0.001004990249994131	0.9601293040588365
Select@GPU-0@(boolean 128x50)(128x50)(128x50)->(128x50)	218.06	194.78	1.119519457849882	39.25	35.06	1.1195094124358242	0.18	0.18	1.0	126791.00000000015	0.00029875705647041203	0.9650880496035678	128416.57999999993	0.0002622038857329531	0.9603915079445694
Range@GPU-0@(int32 1x1)(int32 1x1)(int32 1x1)->(int32 29x1)	23.56	15.97	1.475266123982467	37.23	25.24	1.4750396196513471	1.58	1.58	1.0	126828.23000000014	0.00028338153407371817	0.9653714311376415	128441.81999999993	0.0001887628658271459	0.9605802708103965
StackPushV2@GPU-0@(tf_resource 1x1)(128x39)->(128x39)	87.29	96.14	0.9079467443311837	36.66	40.38	0.9078751857355125	0.42	0.42	1.0	126864.89000000014	0.00027904289656574023	0.9656504740342072	128482.19999999994	0.00030199067044770807	0.9608822614808442
Sum@GPU-0@(128x50)(int32 2x1)(int32 1x1)->(1x1)	404.56	363.33	1.1134781053037184	36.41	32.70	1.1134556574923546	0.09	0.09	1.0	126901.30000000015	0.0002771399853780306	0.9659276140195853	128514.89999999994	0.0002445541090549791	0.9611268155898992
StackPopV2@GPU-0@(tf_resource 1x1)->(128x19)	33.55	35.65	0.94109396914446	36.23	38.50	0.941038961038961	1.08	1.08	1.0	126937.53000000014	0.0002757698893228797	0.9662033839089081	128553.39999999994	0.0002879306788567796	0.961414746268756
ScalarSummary@CPU-0@(string 1x1)(1x1)->(string 1x1)	11.98	13.06	0.9173047473200613	35.94	39.17	0.917538932856778	3.00	3.00	1.0	126973.47000000015	0.0002735625123451365	0.9664769464212533	128592.56999999993	0.0002929414205407807	0.9617076876892968
MatMul@GPU-0@(2304x17191)(128x17191)->(2304x128)	3551.00	3525.00	1.0073758865248228	35.51	35.25	1.0073758865248226	0.01	0.01	1.0	127008.98000000014	0.0002702895051022759	0.9667472359263556	128627.81999999993	0.00026362484232990863	0.9619713125316267
MEMCPYHtoD@GPU-0@(Transfer)->(232 bytes)	38.86	1.72	22.593023255813954	34.97	1.55	22.561290322580643	0.90	0.90	1.0	127043.95000000014	0.0002661792169368232	0.9670134151432924	128629.36999999994	1.1592014343584634e-05	0.9619829045459702
