Op	System_1 time per call	System_2 time per call	Time ratio Sys1/Sys2 (one call)	System_1 total op time	System_2 total op time	Time ratio Sys1/Sys2 (all calls)	System_1 occurence	System_2 occurence	Occurence Ratio	System1 cumulative time	System1 % of total time 	System1 cumulative % of total time 	System2 cumulative time	System2 % of total time 	System2 cumulative % of total time 
CheckNumerics@GPU-0@(1x17x17x96)->(1x17x17x96)	153.37	142.92	1.0731178281556117	153.37	142.92	1.0731178281556117	1.00	1.00	1.0	44223.710000000014	0.0031677367959159187	0.9134059686960599	45272.200000000004	0.0028943390074555736	0.9168282564604691
CheckNumerics@GPU-0@(1x8x8x2048)->(1x8x8x2048)	145.42	166.48	0.8734983181162902	145.42	166.48	0.8734983181162902	1.00	1.00	1.0	44369.13000000001	0.003003535794888784	0.9164095044909487	45438.68000000001	0.003371463461805233	0.9201997199222743
CheckNumerics@GPU-0@(1x17x17x768)->(1x17x17x768)	142.33	149.43	0.9524861138994848	142.33	149.43	0.9524861138994848	1.00	1.00	1.0	44511.460000000014	0.002939714273734842	0.9193492187646836	45588.11000000001	0.0030261760277364006	0.9232258959500107
Const@GPU-0@(no input)->(192x1)	1.53	1.13	1.3539823008849559	139.29	102.66	1.3568088836937464	91.00	91.00	1.0	44650.750000000015	0.002876925463279183	0.9222261442279628	45690.77000000001	0.002079015130880137	0.9253049110808909
Conv2D@GPU-0@(1x17x17x128)(7x1x128x192)->(1x17x17x192)	134.74	136.74	0.985373701916045	134.74	136.74	0.985373701916045	1.00	1.00	1.0	44785.49000000001	0.0027829487897353517	0.9250090930176982	45827.51000000001	0.0027691849697696275	0.9280740960506605
BatchNormWithGlobalNormalization@GPU-0@(1x17x17x160)(160x1)(160x1)(160x1)(1)->(1x17x17x160)	11.26	11.54	0.9757365684575391	123.84	126.90	0.975886524822695	11.00	11.00	1.0	44909.33000000001	0.0025578178575094697	0.9275669108752076	45954.41000000001	0.0025699105796677326	0.9306440066303282
MEMCPYDtoH@GPU-0@(Transfer)->(8 bytes)	122.38	120.44	1.0161076054466955	122.38	120.44	1.0161076054466955	1.00	1.00	1.0	45031.71000000001	0.0025276627051195807	0.9300945735803272	46074.85000000001	0.002439086132507342	0.9330830927628355
BatchNormWithGlobalNormalization@GPU-0@(1x71x71x192)(192x1)(192x1)(192x1)(192x1)->(1x71x71x192)	121.94	123.12	0.9904158544509422	121.94	123.12	0.9904158544509422	1.00	1.00	1.0	45153.65000000001	0.0025185748509746826	0.9326131484313019	46197.970000000016	0.002493360051762736	0.9355764528145982
Conv2D@GPU-0@(1x17x17x128)(1x7x128x192)->(1x17x17x192)	120.80	122.00	0.9901639344262295	120.80	122.00	0.9901639344262295	1.00	1.00	1.0	45274.45000000001	0.0024950290470538107	0.9351081774783557	46319.970000000016	0.0024706784138649593	0.9380471312284632
Conv2D@GPU-0@(1x299x299x3)(3x3x3x32)->(1x149x149x32)	114.01	116.66	0.9772844162523574	114.01	116.66	0.9772844162523574	1.00	1.00	1.0	45388.460000000014	0.0023547869342268623	0.9374629644125826	46436.63000000002	0.0023625356046023454	0.9404096668330655
BatchNormWithGlobalNormalization@GPU-0@(1x35x35x96)(96x1)(96x1)(96x1)(1)->(1x35x35x96)	17.27	17.68	0.9768099547511312	103.64	106.11	0.9767222693431344	6.00	6.00	1.0	45492.10000000001	0.002140602735402789	0.9396035671479854	46542.74000000002	0.0021488826761902526	0.9425585495092558
