Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OPs in RegisterStatistics	GFLOP/S achieved	Op name	Device	Input/output tensors
47	   167.03	     1.00	   167.03	     0.34	 44973.90	    91.08	2116800.00	    12.67	AvgPool	GPU-0	(1x35x35x192)->(1x35x35x192)
48	   166.48	     1.00	   166.48	     0.34	 45140.38	    91.42	     0.00	     0.00	CheckNumerics	GPU-0	(1x8x8x2048)->(1x8x8x2048)
49	   155.38	     1.00	   155.38	     0.31	 45295.76	    91.73	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x147x147x64)(64x1)(64x1)(64x1)(64x1)->(1x147x147x64)
50	   149.43	     1.00	   149.43	     0.30	 45445.19	    92.03	     0.00	     0.00	CheckNumerics	GPU-0	(1x17x17x768)->(1x17x17x768)
51	   142.92	     1.00	   142.92	     0.29	 45588.11	    92.32	     0.00	     0.00	CheckNumerics	GPU-0	(1x17x17x96)->(1x17x17x96)
52	   136.74	     1.00	   136.74	     0.28	 45724.85	    92.60	99434496.00	   727.18	Conv2D	GPU-0	(1x17x17x128)(7x1x128x192)->(1x17x17x192)
53	    11.54	    11.00	   126.90	     0.26	 45851.75	    92.86	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x17x17x160)(160x1)(160x1)(160x1)(1)->(1x17x17x160)
54	   123.12	     1.00	   123.12	     0.25	 45974.87	    93.11	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x71x71x192)(192x1)(192x1)(192x1)(192x1)->(1x71x71x192)
55	   122.00	     1.00	   122.00	     0.25	 46096.87	    93.35	99434496.00	   815.04	Conv2D	GPU-0	(1x17x17x128)(1x7x128x192)->(1x17x17x192)
56	   120.44	     1.00	   120.44	     0.24	 46217.31	    93.60	     0.00	     0.00	MEMCPYDtoH	GPU-0	(Transfer)->(8 bytes)
57	   116.66	     1.00	   116.66	     0.24	 46333.97	    93.83	38363328.00	   328.85	Conv2D	GPU-0	(1x299x299x3)(3x3x3x32)->(1x149x149x32)
58	    17.68	     6.00	   106.11	     0.21	 46440.08	    94.05	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x35x35x96)(96x1)(96x1)(96x1)(1)->(1x35x35x96)
59	     1.13	    91.00	   102.66	     0.21	 46542.74	    94.26	     0.00	     0.00	Const	GPU-0	(no input)->(192x1)
60	    24.46	     4.00	    97.83	     0.20	 46640.57	    94.45	284098560.00	  2904.00	Conv2D	GPU-0	(1x17x17x768)(1x1x768x160)->(1x17x17x160)
61	    22.79	     4.00	    91.16	     0.18	 46731.73	    94.64	180633600.00	  1981.50	Conv2D	GPU-0	(1x35x35x288)(1x1x288x64)->(1x35x35x64)
62	    88.66	     1.00	    88.66	     0.18	 46820.39	    94.82	47941632.00	   540.74	Conv2D	GPU-0	(1x35x35x96)(3x3x96x96)->(1x17x17x96)
63	     6.85	    12.00	    82.25	     0.17	 46902.64	    94.98	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x8x8x384)(384x1)(384x1)(384x1)(1)->(1x8x8x384)
64	    78.84	     1.00	    78.84	     0.16	 46981.48	    95.14	3069504.00	    38.93	MaxPool	GPU-0	(1x147x147x64)->(1x73x73x64)
65	     2.87	    26.00	    74.71	     0.15	 47056.19	    95.30	     0.00	     0.00	Relu	GPU-0	(1x17x17x192)->(1x17x17x192)
66	    68.31	     1.00	    68.31	     0.14	 47124.50	    95.43	     0.00	     0.00	Relu	GPU-0	(1x147x147x64)->(1x147x147x64)
67	    20.34	     3.00	    61.02	     0.12	 47185.52	    95.56	120422400.00	  1973.49	Conv2D	GPU-0	(1x35x35x256)(1x1x256x64)->(1x35x35x64)
68	    14.96	     4.00	    59.86	     0.12	 47245.38	    95.68	     0.00	     0.00	Concat	GPU-0	(1)(1x17x17x192)(1x17x17x192)(1x17x17x192)(1x17x17x192)->(1x17x17x768)
69	    58.55	     1.00	    58.55	     0.12	 47303.93	    95.80	4128768.00	    70.52	MatMul	GPU-0	(1x2048)(2048x1008)->(1x1008)
70	    58.10	     1.00	    58.10	     0.12	 47362.03	    95.92	737280.00	    12.69	AvgPool	GPU-0	(1x8x8x1280)->(1x8x8x1280)
71	     1.43	    40.00	    57.38	     0.12	 47419.41	    96.03	     0.00	     0.00	Const	GPU-0	(no input)->(384x1)
72	    55.51	     1.00	    55.51	     0.11	 47474.92	    96.14	2116800.00	    38.13	MaxPool	GPU-0	(1x71x71x192)->(1x35x35x192)
73	    49.11	     1.00	    49.11	     0.10	 47524.03	    96.24	131072.00	     2.67	AvgPool	GPU-0	(1x8x8x2048)->(1x1x1x2048)
74	    48.82	     1.00	    48.82	     0.10	 47572.85	    96.34	54568960.00	  1117.76	Conv2D	GPU-0	(1x73x73x64)(1x1x64x80)->(1x73x73x80)
75	     4.06	    12.00	    48.70	     0.10	 47621.55	    96.44	     0.00	     0.00	Relu	GPU-0	(1x35x35x64)->(1x35x35x64)
76	     1.87	    26.00	    48.52	     0.10	 47670.07	    96.54	     0.00	     0.00	Identity	GPU-0	(1x17x17x192)->(1x17x17x192)
77	    48.14	     1.00	    48.14	     0.10	 47718.21	    96.64	     0.00	     0.00	Relu	GPU-0	(1x71x71x192)->(1x71x71x192)
78	    47.43	     1.00	    47.43	     0.10	 47765.64	    96.73	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x149x149x32)(32x1)(32x1)(32x1)(32x1)->(1x149x149x32)
79	    47.20	     1.00	    47.20	     0.10	 47812.84	    96.83	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x73x73x80)(80x1)(80x1)(80x1)(80x1)->(1x73x73x80)
80	     9.42	     5.00	    47.11	     0.10	 47859.95	    96.92	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x17x17x128)(128x1)(128x1)(128x1)(1)->(1x17x17x128)
81	    46.62	     1.00	    46.62	     0.09	 47906.57	    97.02	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x147x147x32)(32x1)(32x1)(32x1)(1)->(1x147x147x32)
82	    22.45	     2.00	    44.89	     0.09	 47951.46	    97.11	     0.00	     0.00	Concat	GPU-0	(1)(1x35x35x64)(1x35x35x64)(1x35x35x96)(1x35x35x64)->(1x35x35x288)
83	     1.19	    37.00	    44.01	     0.09	 47995.47	    97.20	     0.00	     0.00	Const	GPU-0	(no input)->(160x1)
84	    21.27	     2.00	    42.54	     0.09	 48038.01	    97.28	113639424.00	  2671.35	Conv2D	GPU-0	(1x17x17x768)(1x1x768x128)->(1x17x17x128)
85	     1.02	    40.00	    40.99	     0.08	 48079.00	    97.37	     0.00	     0.00	Const	GPU-0	(no input)->(64x1)
86	    37.49	     1.00	    37.49	     0.08	 48116.49	    97.44	117440512.00	  3132.58	Conv2D	GPU-0	(1x8x8x2048)(1x1x2048x448)->(1x8x8x448)
87	    35.49	     1.00	    35.49	     0.07	 48151.98	    97.51	100663296.00	  2836.38	Conv2D	GPU-0	(1x8x8x2048)(1x1x2048x384)->(1x8x8x384)
88	    34.82	     1.00	    34.82	     0.07	 48186.80	    97.59	83886080.00	  2409.13	Conv2D	GPU-0	(1x8x8x2048)(1x1x2048x320)->(1x8x8x320)
89	    33.21	     1.00	    33.21	     0.07	 48220.01	    97.65	     0.00	     0.00	Relu	GPU-0	(1x149x149x32)->(1x149x149x32)
90	     2.65	    12.00	    31.74	     0.06	 48251.75	    97.72	     0.00	     0.00	Relu	GPU-0	(1x17x17x160)->(1x17x17x160)
91	    31.69	     1.00	    31.69	     0.06	 48283.44	    97.78	     0.00	     0.00	Relu	GPU-0	(1x147x147x32)->(1x147x147x32)
92	    15.71	     2.00	    31.41	     0.06	 48314.85	    97.84	60211200.00	  1916.94	Conv2D	GPU-0	(1x35x35x192)(1x1x192x64)->(1x35x35x64)
93	    31.19	     1.00	    31.19	     0.06	 48346.04	    97.91	50331648.00	  1613.71	Conv2D	GPU-0	(1x8x8x2048)(1x1x2048x192)->(1x8x8x192)
94	     1.16	    25.00	    29.07	     0.06	 48375.11	    97.97	     0.00	     0.00	Const	GPU-0	(no input)->(96x1)
95	     1.53	    19.00	    29.06	     0.06	 48404.17	    98.03	     0.00	     0.00	Const	GPU-0	(no input)->(128x1)
96	    27.70	     1.00	    27.70	     0.06	 48431.87	    98.08	     0.00	     0.00	ResizeBilinear	GPU-0	(1x100x100x3)(int32 2x1)->(1x299x299x3)
97	    26.85	     1.00	    26.85	     0.05	 48458.72	    98.14	1179648.00	    43.93	MaxPool	GPU-0	(1x8x8x2048)->(1x8x8x2048)
98	     2.16	    12.00	    25.90	     0.05	 48484.62	    98.19	     0.00	     0.00	Identity	GPU-0	(1x35x35x64)->(1x35x35x64)
99	     2.10	    12.00	    25.26	     0.05	 48509.88	    98.24	     0.00	     0.00	Relu	GPU-0	(1x8x8x384)->(1x8x8x384)
100	    24.78	     1.00	    24.78	     0.05	 48534.66	    98.29	73400320.00	  2962.08	Conv2D	GPU-0	(1x8x8x1280)(1x1x1280x448)->(1x8x8x448)
101	    12.21	     2.00	    24.42	     0.05	 48559.08	    98.34	     0.00	     0.00	Concat	GPU-0	(1)(1x8x8x320)(1x8x8x384)(1x8x8x384)(1x8x8x384)(1x8x8x384)(1x8x8x192)->(1x8x8x2048)
102	    23.92	     1.00	    23.92	     0.05	 48583.00	    98.39	62914560.00	  2630.21	Conv2D	GPU-0	(1x8x8x1280)(1x1x1280x384)->(1x8x8x384)
103	    23.87	     1.00	    23.87	     0.05	 48606.87	    98.44	749088.00	    31.38	MaxPool	GPU-0	(1x35x35x288)->(1x17x17x288)
104	    23.68	     1.00	    23.68	     0.05	 48630.55	    98.48	52428800.00	  2214.05	Conv2D	GPU-0	(1x8x8x1280)(1x1x1280x320)->(1x8x8x320)
105	     1.83	    12.00	    22.01	     0.04	 48652.56	    98.53	     0.00	     0.00	Identity	GPU-0	(1x8x8x384)->(1x8x8x384)
106	    21.60	     1.00	    21.60	     0.04	 48674.16	    98.57	31457280.00	  1456.36	Conv2D	GPU-0	(1x8x8x1280)(1x1x1280x192)->(1x8x8x192)
107	    10.78	     2.00	    21.56	     0.04	 48695.72	    98.62	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x35x35x48)(48x1)(48x1)(48x1)(1)->(1x35x35x48)
108	     1.74	    12.00	    20.86	     0.04	 48716.58	    98.66	     0.00	     0.00	Identity	GPU-0	(1x17x17x160)->(1x17x17x160)
109	     6.93	     3.00	    20.80	     0.04	 48737.38	    98.70	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x8x8x192)(192x1)(192x1)(192x1)(1)->(1x8x8x192)
110	    20.53	     1.00	    20.53	     0.04	 48757.91	    98.74	     0.00	     0.00	Concat	GPU-0	(int32 1x1)(1x35x35x64)(1x35x35x64)(1x35x35x96)(1x35x35x32)->(1x35x35x256)
111	    19.91	     1.00	    19.91	     0.04	 48777.82	    98.78	33868800.00	  1701.09	Conv2D	GPU-0	(1x35x35x288)(1x1x288x48)->(1x35x35x48)
112	     2.79	     7.00	    19.50	     0.04	 48797.32	    98.82	     0.00	     0.00	Relu	GPU-0	(1x35x35x96)->(1x35x35x96)
113	    18.14	     1.00	    18.14	     0.04	 48815.46	    98.86	15052800.00	   829.81	Conv2D	GPU-0	(1x35x35x192)(1x1x192x32)->(1x35x35x32)
114	    17.73	     1.00	    17.73	     0.04	 48833.19	    98.89	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x35x35x96)(96x1)(96x1)(96x1)(96x1)->(1x35x35x96)
115	    17.51	     1.00	    17.51	     0.04	 48850.70	    98.93	30105600.00	  1719.34	Conv2D	GPU-0	(1x35x35x256)(1x1x256x48)->(1x35x35x48)
116	     1.39	    12.00	    16.66	     0.03	 48867.36	    98.96	     0.00	     0.00	Const	GPU-0	(no input)->(1x1x768x192)
117	    16.12	     1.00	    16.12	     0.03	 48883.48	    99.00	     0.00	     0.00	Relu	GPU-0	(1x73x73x80)->(1x73x73x80)
118	     7.67	     2.00	    15.35	     0.03	 48898.83	    99.03	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x8x8x320)(320x1)(320x1)(320x1)(1)->(1x8x8x320)
119	    15.26	     1.00	    15.26	     0.03	 48914.09	    99.06	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x17x17x384)(384x1)(384x1)(384x1)(384x1)->(1x17x17x384)
120	    15.13	     1.00	    15.13	     0.03	 48929.22	    99.09	442368.00	    29.24	MaxPool	GPU-0	(1x17x17x768)->(1x8x8x768)
121	     2.36	     6.00	    14.16	     0.03	 48943.38	    99.12	     0.00	     0.00	Relu	GPU-0	(1x17x17x128)->(1x17x17x128)
122	    13.86	     1.00	    13.86	     0.03	 48957.24	    99.15	     0.00	     0.00	Concat	GPU-0	(1)(1x17x17x384)(1x17x17x96)(1x17x17x288)->(1x17x17x768)
123	    13.68	     1.00	    13.68	     0.03	 48970.92	    99.17	  5040.00	     0.37	Softmax	GPU-0	(1x1008)->(1x1008)
124	    12.91	     1.00	    12.91	     0.03	 48983.83	    99.20	22579200.00	  1748.97	Conv2D	GPU-0	(1x35x35x192)(1x1x192x48)->(1x35x35x48)
125	    11.93	     1.00	    11.93	     0.02	 48995.76	    99.22	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x35x35x48)(48x1)(48x1)(48x1)(48x1)->(1x35x35x48)
126	     1.69	     7.00	    11.84	     0.02	 49007.60	    99.25	     0.00	     0.00	Identity	GPU-0	(1x35x35x96)->(1x35x35x96)
127	     3.93	     3.00	    11.78	     0.02	 49019.38	    99.27	     0.00	     0.00	Relu	GPU-0	(1x35x35x48)->(1x35x35x48)
128	    11.68	     1.00	    11.68	     0.02	 49031.06	    99.30	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x17x17x160)(160x1)(160x1)(160x1)(160x1)->(1x17x17x160)
129	     1.88	     6.00	    11.30	     0.02	 49042.36	    99.32	     0.00	     0.00	Identity	GPU-0	(1x17x17x128)->(1x17x17x128)
130	     1.06	    10.00	    10.65	     0.02	 49053.01	    99.34	     0.00	     0.00	Const	GPU-0	(no input)->(32x1)
131	     1.02	    10.00	    10.24	     0.02	 49063.25	    99.36	     0.00	     0.00	Const	GPU-0	(no input)->(48x1)
132	     1.02	    10.00	    10.18	     0.02	 49073.43	    99.38	     0.00	     0.00	Const	GPU-0	(no input)->(320x1)
133	     9.89	     1.00	     9.89	     0.02	 49083.32	    99.40	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x17x17x128)(128x1)(128x1)(128x1)(128x1)->(1x17x17x128)
134	     8.83	     1.00	     8.83	     0.02	 49092.15	    99.42	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x35x35x32)(32x1)(32x1)(32x1)(1)->(1x35x35x32)
135	     8.33	     1.00	     8.33	     0.02	 49100.48	    99.44	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x17x17x96)(96x1)(96x1)(96x1)(1)->(1x17x17x96)
136	     7.35	     1.00	     7.35	     0.01	 49107.83	    99.45	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x8x8x320)(320x1)(320x1)(320x1)(320x1)->(1x8x8x320)
137	     2.43	     3.00	     7.28	     0.01	 49115.11	    99.47	     0.00	     0.00	Relu	GPU-0	(1x8x8x320)->(1x8x8x320)
138	     7.12	     1.00	     7.12	     0.01	 49122.23	    99.48	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x8x8x448)(448x1)(448x1)(448x1)(1)->(1x8x8x448)
139	     7.07	     1.00	     7.07	     0.01	 49129.30	    99.49	     0.00	     0.00	Concat	GPU-0	(1)(1x8x8x320)(1x8x8x192)(1x8x8x768)->(1x8x8x1280)
140	     0.98	     7.00	     6.85	     0.01	 49136.15	    99.51	     0.00	     0.00	Const	GPU-0	(no input)->(448x1)
141	     2.18	     3.00	     6.53	     0.01	 49142.68	    99.52	     0.00	     0.00	Identity	GPU-0	(1x35x35x48)->(1x35x35x48)
142	     2.17	     3.00	     6.52	     0.01	 49149.20	    99.53	     0.00	     0.00	Relu	GPU-0	(1x8x8x192)->(1x8x8x192)
143	     6.44	     1.00	     6.44	     0.01	 49155.64	    99.55	     0.00	     0.00	BatchNormWithGlobalNormalization	GPU-0	(1x8x8x448)(448x1)(448x1)(448x1)(448x1)->(1x8x8x448)
144	     6.33	     1.00	     6.33	     0.01	 49161.97	    99.56	     0.00	     0.00	NoOp	GPU-0	(no input)->(no output info)
145	     2.07	     3.00	     6.21	     0.01	 49168.18	    99.57	     0.00	     0.00	Identity	GPU-0	(1x8x8x320)->(1x8x8x320)
146	     1.55	     4.00	     6.21	     0.01	 49174.39	    99.59	     0.00	     0.00	Const	GPU-0	(no input)->(1x7x160x160)
147	     1.48	     4.00	     5.92	     0.01	 49180.31	    99.60	     0.00	     0.00	Const	GPU-0	(no input)->(1x1x768x160)
148	     1.46	     4.00	     5.83	     0.01	 49186.14	    99.61	     0.00	     0.00	Const	GPU-0	(no input)->(3x1x384x384)
149	     5.67	     1.00	     5.67	     0.01	 49191.81	    99.62	     0.00	     0.00	Relu	GPU-0	(1x17x17x384)->(1x17x17x384)
150	     1.40	     4.00	     5.61	     0.01	 49197.42	    99.63	     0.00	     0.00	Const	GPU-0	(no input)->(7x1x160x160)
151	     1.81	     3.00	     5.44	     0.01	 49202.86	    99.64	     0.00	     0.00	Identity	GPU-0	(1x8x8x192)->(1x8x8x192)
152	     2.67	     2.00	     5.34	     0.01	 49208.20	    99.65	     0.00	     0.00	Identity	GPU-0	(1x147x147x64)->(1x147x147x64)
153	     2.63	     2.00	     5.26	     0.01	 49213.46	    99.66	     0.00	     0.00	Identity	GPU-0	(1x71x71x192)->(1x71x71x192)
154	     5.25	     1.00	     5.25	     0.01	 49218.71	    99.68	268203.00	    51.09	Sub	GPU-0	(1x299x299x3)(1x1)->(1x299x299x3)
155	     1.28	     4.00	     5.13	     0.01	 49223.84	    99.69	     0.00	     0.00	Const	GPU-0	(no input)->(7x1x192x192)
156	     1.28	     4.00	     5.12	     0.01	 49228.96	    99.70	     0.00	     0.00	Const	GPU-0	(no input)->(3x3x96x96)
157	     1.26	     4.00	     5.05	     0.01	 49234.01	    99.71	     0.00	     0.00	Const	GPU-0	(no input)->(1x7x192x192)
158	     5.04	     1.00	     5.04	     0.01	 49239.05	    99.72	268203.00	    53.21	Mul	GPU-0	(1x299x299x3)(1x1)->(1x299x299x3)
159	     1.25	     4.00	     4.99	     0.01	 49244.04	    99.73	     0.00	     0.00	Const	GPU-0	(no input)->(1x1x288x64)
160	     2.50	     2.00	     4.99	     0.01	 49249.03	    99.74	     0.00	     0.00	Relu	GPU-0	(1x8x8x448)->(1x8x8x448)
161	     1.22	     4.00	     4.86	     0.01	 49253.89	    99.75	     0.00	     0.00	Const	GPU-0	(no input)->(3x3x64x96)
162	     1.15	     4.00	     4.59	     0.01	 49258.48	    99.76	     0.00	     0.00	Const	GPU-0	(no input)->(1x3x384x384)
163	     2.04	     2.00	     4.08	     0.01	 49262.56	    99.76	     0.00	     0.00	Identity	GPU-0	(1x8x8x448)->(1x8x8x448)
164	     1.01	     4.00	     4.03	     0.01	 49266.59	    99.77	     0.00	     0.00	Const	GPU-0	(no input)->(80x1)
165	     1.97	     2.00	     3.94	     0.01	 49270.53	    99.78	     0.00	     0.00	Const	GPU-0	(no input)->(1x1x768x128)
166	     1.28	     3.00	     3.83	     0.01	 49274.36	    99.79	     0.00	     0.00	Const	GPU-0	(no input)->(1x1x256x64)
