Relu/GPU-0/(1x71x71x192)->(1x71x71x192)	[4753, 100, -1]
BatchNormWithGlobalNormalization/GPU-0/(1x17x17x128)(128x1)(128x1)(128x1)(1)->(1x17x17x128)	[4715, 500, -1]
BatchNormWithGlobalNormalization/GPU-0/(1x73x73x80)(80x1)(80x1)(80x1)(80x1)->(1x73x73x80)	[4599, 100, -1]
BatchNormWithGlobalNormalization/GPU-0/(1x147x147x32)(32x1)(32x1)(32x1)(1)->(1x147x147x32)	[4493, 100, -1]
Concat/GPU-0/(1)(1x35x35x64)(1x35x35x64)(1x35x35x96)(1x35x35x64)->(1x35x35x288)	[4452, 200, -1]
Conv2D/GPU-0/(1x17x17x768)(1x1x768x128)->(1x17x17x128)	[4259, 200, 56819712]
Conv2D/GPU-0/(1x8x8x2048)(1x1x2048x448)->(1x8x8x448)	[3681, 100, 117440512]
Const/GPU-0/(no input)->(96x1)	[3590, 2500, -1]
Conv2D/GPU-0/(1x8x8x2048)(1x1x2048x384)->(1x8x8x384)	[3509, 100, 100663296]
Conv2D/GPU-0/(1x8x8x2048)(1x1x2048x320)->(1x8x8x320)	[3472, 100, 83886080]
Relu/GPU-0/(1x149x149x32)->(1x149x149x32)	[3266, 100, -1]
Const/GPU-0/(no input)->(128x1)	[3230, 1900, -1]
Relu/GPU-0/(1x17x17x160)->(1x17x17x160)	[3204, 1200, -1]
Relu/GPU-0/(1x147x147x32)->(1x147x147x32)	[3179, 100, -1]
Conv2D/GPU-0/(1x35x35x192)(1x1x192x64)->(1x35x35x64)	[3104, 200, 30105600]
Conv2D/GPU-0/(1x8x8x2048)(1x1x2048x192)->(1x8x8x192)	[3084, 100, 50331648]
ResizeBilinear/GPU-0/(1x100x100x3)(int32 2x1)->(1x299x299x3)	[2804, 100, -1]
Identity/GPU-0/(1x35x35x64)->(1x35x35x64)	[2690, 1200, -1]
MaxPool/GPU-0/(1x8x8x2048)->(1x8x8x2048)	[2671, 100, 1179648]
Relu/GPU-0/(1x8x8x384)->(1x8x8x384)	[2593, 1200, -1]
Conv2D/GPU-0/(1x8x8x1280)(1x1x1280x448)->(1x8x8x448)	[2441, 100, 73400320]
Conv2D/GPU-0/(1x8x8x1280)(1x1x1280x384)->(1x8x8x384)	[2386, 100, 62914560]
Conv2D/GPU-0/(1x8x8x1280)(1x1x1280x320)->(1x8x8x320)	[2383, 100, 52428800]
Concat/GPU-0/(1)(1x8x8x320)(1x8x8x384)(1x8x8x384)(1x8x8x384)(1x8x8x384)(1x8x8x192)->(1x8x8x2048)	[2380, 200, -1]
MaxPool/GPU-0/(1x35x35x288)->(1x17x17x288)	[2363, 100, 749088]
Identity/GPU-0/(1x8x8x384)->(1x8x8x384)	[2253, 1200, -1]
Identity/GPU-0/(1x17x17x160)->(1x17x17x160)	[2234, 1200, -1]
Const/GPU-0/(no input)->(1x1x768x192)	[2215, 1200, -1]
Conv2D/GPU-0/(1x8x8x1280)(1x1x1280x192)->(1x8x8x192)	[2182, 100, 31457280]
BatchNormWithGlobalNormalization/GPU-0/(1x35x35x48)(48x1)(48x1)(48x1)(1)->(1x35x35x48)	[2110, 200, -1]
Concat/GPU-0/(int32 1x1)(1x35x35x64)(1x35x35x64)(1x35x35x96)(1x35x35x32)->(1x35x35x256)	[2024, 100, -1]
Conv2D/GPU-0/(1x35x35x288)(1x1x288x48)->(1x35x35x48)	[1996, 100, 33868800]
BatchNormWithGlobalNormalization/GPU-0/(1x8x8x192)(192x1)(192x1)(192x1)(1)->(1x8x8x192)	[1953, 300, -1]
Relu/GPU-0/(1x35x35x96)->(1x35x35x96)	[1893, 700, -1]
Conv2D/GPU-0/(1x35x35x192)(1x1x192x32)->(1x35x35x32)	[1802, 100, 15052800]
BatchNormWithGlobalNormalization/GPU-0/(1x35x35x96)(96x1)(96x1)(96x1)(96x1)->(1x35x35x96)	[1766, 100, -1]
Conv2D/GPU-0/(1x35x35x256)(1x1x256x48)->(1x35x35x48)	[1744, 100, 30105600]
Relu/GPU-0/(1x73x73x80)->(1x73x73x80)	[1612, 100, -1]
Const/GPU-0/(no input)->(320x1)	[1502, 1000, -1]
BatchNormWithGlobalNormalization/GPU-0/(1x17x17x384)(384x1)(384x1)(384x1)(384x1)->(1x17x17x384)	[1487, 100, -1]
MaxPool/GPU-0/(1x17x17x768)->(1x8x8x768)	[1475, 100, 442368]
BatchNormWithGlobalNormalization/GPU-0/(1x8x8x320)(320x1)(320x1)(320x1)(1)->(1x8x8x320)	[1401, 200, -1]
Relu/GPU-0/(1x17x17x128)->(1x17x17x128)	[1356, 600, -1]
Const/GPU-0/(no input)->(32x1)	[1355, 1000, -1]
Concat/GPU-0/(1)(1x17x17x384)(1x17x17x96)(1x17x17x288)->(1x17x17x768)	[1342, 100, -1]
Const/GPU-0/(no input)->(48x1)	[1334, 1000, -1]
Softmax/GPU-0/(1x1008)->(1x1008)	[1332, 100, 5040]
Conv2D/GPU-0/(1x35x35x192)(1x1x192x48)->(1x35x35x48)	[1278, 100, 22579200]
Identity/GPU-0/(1x35x35x96)->(1x35x35x96)	[1269, 700, -1]
Relu/GPU-0/(1x35x35x48)->(1x35x35x48)	[1234, 300, -1]
BatchNormWithGlobalNormalization/GPU-0/(1x35x35x48)(48x1)(48x1)(48x1)(48x1)->(1x35x35x48)	[1182, 100, -1]
BatchNormWithGlobalNormalization/GPU-0/(1x17x17x160)(160x1)(160x1)(160x1)(160x1)->(1x17x17x160)	[1114, 100, -1]
Identity/GPU-0/(1x17x17x128)->(1x17x17x128)	[1110, 600, -1]
Const/GPU-0/(no input)->(448x1)	[986, 700, -1]
BatchNormWithGlobalNormalization/GPU-0/(1x17x17x128)(128x1)(128x1)(128x1)(128x1)->(1x17x17x128)	[978, 100, -1]
Const/GPU-0/(no input)->(1x7x192x192)	[811, 400, -1]
BatchNormWithGlobalNormalization/GPU-0/(1x35x35x32)(32x1)(32x1)(32x1)(1)->(1x35x35x32)	[809, 100, -1]
BatchNormWithGlobalNormalization/GPU-0/(1x17x17x96)(96x1)(96x1)(96x1)(1)->(1x17x17x96)	[804, 100, -1]
Const/GPU-0/(no input)->(1x7x160x160)	[767, 400, -1]
