L2Loss_24@GPU-0@(1x1x512x1024)->(1x1)	L2Loss_24	L2Loss	GPU-0	0	28	28	(1x1x512x1024)->(1x1)	1	1	0
PiecewiseConstant/case/LessEqual@GPU-0@(int32 1x1)(int32 1x1)->(boolean 1x1)	PiecewiseConstant/case/LessEqual	LessEqual	GPU-0	1	19	29	(int32 1x1)(int32 1x1)->(boolean 1x1)	0	1	0
gradients/resnet_model/conv2d_3/Conv2D_grad/Conv2DBackpropInput@GPU-0@(int32 4x1)(3x3x64x64)(64x64x56x56)(64x1 slot 1 slot )(64x1 slot 2 slot )(1x1 slot 3 slot )(1x1 slot 4 slot )->(64x64x56x56)	gradients/resnet_model/conv2d_3/Conv2D_grad/Conv2DBackpropInput	Conv2DBackpropInput	GPU-0	0	3439	3439	(int32 4x1)(3x3x64x64)(64x64x56x56)(64x1 slot 1 slot )(64x1 slot 2 slot )(1x1 slot 3 slot )(1x1 slot 4 slot )->(64x64x56x56)	1	1	0
resnet_model/conv2d_41/kernel/read@GPU-0@(3x3x256x256)->(3x3x256x256)	resnet_model/conv2d_41/kernel/read	Identity	GPU-0	0	1	3	(3x3x256x256)->(3x3x256x256)	0	1	0
resnet_model/conv2d_47/kernel/Momentum@GPU-0@(no input)->(1x1x2048x512)	resnet_model/conv2d_47/kernel/Momentum	VariableV2	GPU-0	0	2	4	(no input)->(1x1x2048x512)	0	1	0
resnet_model/batch_normalization_30/beta@GPU-0@(no input)->(1024x1)	resnet_model/batch_normalization_30/beta	VariableV2	GPU-0	0	2	3	(no input)->(1024x1)	0	1	0
resnet_model/Relu_22@GPU-0@(64x256x28x28)(256x1 slot 1 slot )(256x1 slot 2 slot )(256x1 slot 3 slot )(256x1 slot 4 slot )->(64x256x28x28)	resnet_model/Relu_22	Relu	GPU-0	0	670	670	(64x256x28x28)(256x1 slot 1 slot )(256x1 slot 2 slot )(256x1 slot 3 slot )(256x1 slot 4 slot )->(64x256x28x28)	1	1	0
resnet_model/batch_normalization_37/beta@GPU-0@(no input)->(256x1)	resnet_model/batch_normalization_37/beta	VariableV2	GPU-0	0	2	2	(no input)->(256x1)	0	1	0
resnet_model/batch_normalization_12/AssignMovingAvg/mul@GPU-0@(512x1)(1x1)->(512x1)	resnet_model/batch_normalization_12/AssignMovingAvg/mul	Mul	GPU-0	0	2	2	(512x1)(1x1)->(512x1)	1	1	0
resnet_model/batch_normalization_45/AssignMovingAvg_1/mul@GPU-0@(2048x1)(1x1)->(2048x1)	resnet_model/batch_normalization_45/AssignMovingAvg_1/mul	Mul	GPU-0	0	2	2	(2048x1)(1x1)->(2048x1)	1	1	0
