AddN, (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), (1), GPU, 0
Momentum/update_resnet_model/batch_normalization_1/beta/ApplyMomentum, (16x1), (16x1), (1), (int32 1), (16x1), (1), (16x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_1/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_1/gamma/ApplyMomentum, (16x1), (16x1), (1), (int32 1), (16x1), (1), (16x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_1/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_10/beta/ApplyMomentum, (16x1), (16x1), (1), (int32 1), (16x1), (1), (16x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_10/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_10/gamma/ApplyMomentum, (16x1), (16x1), (1), (int32 1), (16x1), (1), (16x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_10/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_11/beta/ApplyMomentum, (32x1), (32x1), (1), (int32 1), (32x1), (1), (32x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_11/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_11/gamma/ApplyMomentum, (32x1), (32x1), (1), (int32 1), (32x1), (1), (32x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_11/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_12/beta/ApplyMomentum, (32x1), (32x1), (1), (int32 1), (32x1), (1), (32x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_12/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_12/gamma/ApplyMomentum, (32x1), (32x1), (1), (int32 1), (32x1), (1), (32x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_12/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_13/beta/ApplyMomentum, (32x1), (32x1), (1), (int32 1), (32x1), (1), (32x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_13/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_13/gamma/ApplyMomentum, (32x1), (32x1), (1), (int32 1), (32x1), (1), (32x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_13/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_14/beta/ApplyMomentum, (32x1), (32x1), (1), (int32 1), (32x1), (1), (32x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_14/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_14/gamma/ApplyMomentum, (32x1), (32x1), (1), (int32 1), (32x1), (1), (32x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_14/gamma/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_15/beta/ApplyMomentum, (32x1), (32x1), (1), (int32 1), (32x1), (1), (32x1), GPU, 0
Momentum/update_resnet_model/batch_normalization_15/beta/ApplyMomentum:ApplyMomentum, (no input), (no output), GPU, 0
Momentum/update_resnet_model/batch_normalization_15/gamma/ApplyMomentum, (32x1), (32x1), (1), (int32 1), (32x1), (1), (32x1), GPU, 0
