Op rank by total time	Time of 1 call, microseconds	Number of calls in 1 run	Total time in 1 run	% of total time	Cumulative time, microseconds	% of total cumulative time	(FL)OPs in RegisterStatistics	GFLOP/S achieved	Op name	Device	Input/output tensors
61	  3939.93	     1.00	  3939.93	     0.56	403249.71	    57.73	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x256x56x56)(int32 4x1)(64x128x56x56)(128x1)(128x1)(1x1)(1x1)->(1x1x256x128)
62	   350.15	    11.00	  3851.63	     0.55	407101.34	    58.28	     0.00	     0.00	ReluGrad	GPU-0	(64x256x14x14)(64x256x14x14)->(64x256x14x14)
63	  3843.38	     1.00	  3843.38	     0.55	410944.72	    58.83	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x512x16x16)(int32 4x1)(64x512x7x7)(512x1)(512x1)(1x1)(1x1)->(3x3x512x512)
64	  1905.33	     2.00	  3810.65	     0.55	414755.37	    59.38	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x256x64)(64x64x56x56)(64x1)(64x1)(1x1)(1x1)->(64x256x56x56)
65	   634.21	     6.00	  3805.26	     0.54	418560.63	    59.93	     0.00	     0.00	ReluGrad	GPU-0	(64x1024x14x14)(64x1024x14x14)->(64x1024x14x14)
66	  1877.13	     2.00	  3754.26	     0.54	422314.89	    60.46	29595009024.00	  7883.05	Conv2D	GPU-0	(64x512x7x7)(3x3x512x512)->(64x512x7x7)
67	   620.10	     6.00	  3720.59	     0.53	426035.48	    61.00	77070336.00	    20.71	Add	GPU-0	(64x1024x14x14)(64x1024x14x14)->(64x1024x14x14)
68	   122.00	    30.00	  3660.11	     0.52	429695.59	    61.52	  7680.00	     0.00	AssignSub	GPU-0	(256x1)(256x1)->(256x1)
69	  3618.26	     1.00	  3618.26	     0.52	433313.85	    62.04	     0.00	     0.00	Conv2DBackpropFilter	GPU-0	(64x1024x14x14)(int32 4x1)(64x512x14x14)(512x1)(512x1)(1x1)(1x1)->(1x1x1024x512)
70	  1793.96	     2.00	  3587.93	     0.51	436901.78	    62.55	     0.00	     0.00	Conv2DBackpropInput	GPU-0	(int32 4x1)(1x1x2048x512)(64x512x7x7)(512x1)(512x1)(1x1)(1x1)->(64x2048x7x7)
