Op	System_1 time per call	System_2 time per call	Time ratio Sys1/Sys2 (one call)	System_1 total op time	System_2 total op time	Time ratio Sys1/Sys2 (all calls)	System_1 occurence	System_2 occurence	Occurence Ratio	System1 cumulative time	System1 % of total time 	System1 cumulative % of total time 	System2 cumulative time	System2 % of total time 	System2 cumulative % of total time 
ApplyMomentum@GPU-0@(128x1)(128x1)(1x1)(int32 1x1)(128x1)(1x1)->(128x1)	26.51	41.25	0.6426666666666667	424.20	659.96	0.642766228256258	16.00	16.00	1.0	688368.6499999999	0.0006022268338051986	0.9772608971717563	680098.0400000007	0.0009448601595939746	0.9736916519394356
Mul@GPU-0@(1x1x512x256)(1x1)->(1x1x512x256)	414.74	384.71	1.0780587975358062	414.74	384.71	1.0780587975358062	1.00	1.00	1.0	688783.3899999999	0.0005887966927212825	0.9778496938644776	680482.7500000007	0.0005507866416107006	0.9742424385810463
AddN@GPU-0@(1x1x512x128)(1x1x512x128)->(1x1x512x128)	137.06	34.12	4.016998827667058	411.18	102.36	4.016998827667058	3.00	3.00	1.0	689194.57	0.0005837426438567222	0.9784334365083344	680585.1100000007	0.00014654810281841208	0.9743889866838648
Mul@GPU-0@(64x2048x7x7)(1x1)->(64x2048x7x7)	409.89	337.84	1.2132666350935355	409.89	337.84	1.2132666350935355	1.00	1.00	1.0	689604.46	0.0005819112609816427	0.979015347769316	680922.9500000007	0.00048368318734048785	0.9748726698712052
ApplyMomentum@GPU-0@(1024x1)(1024x1)(1x1)(int32 1x1)(1024x1)(1x1)->(1024x1)	34.02	30.84	1.1031128404669261	408.22	370.13	1.102909788452706	12.00	12.00	1.0	690012.6799999999	0.0005795404009805709	0.9795948881702965	681293.0800000007	0.0005299125566254285	0.9754025824278306
Mul@GPU-0@(1x1x1024x2048)(1x1)->(1x1x1024x2048)	405.36	646.52	0.6269875641898163	405.36	646.52	0.6269875641898163	1.00	1.00	1.0	690418.0399999999	0.0005754801257691544	0.9801703682960656	681939.6000000007	0.0009256182047104316	0.976328200632541
ReluGrad@GPU-0@(64x512x14x14)(64x512x14x14)->(64x512x14x14)	387.78	425.13	0.9121445204996118	387.78	425.13	0.9121445204996118	1.00	1.00	1.0	690805.82	0.0005505222103087692	0.9807208905063745	682364.7300000007	0.0006086556755684987	0.9769368563081094
L2Loss@GPU-0@(2048x1001)->(1x1)	386.70	689.28	0.5610201949860725	386.70	689.28	0.5610201949860725	1.00	1.00	1.0	691192.5199999999	0.0005489889595296329	0.981269879465904	683054.0100000007	0.0009868374004559893	0.9779236937085655
Slice@GPU-0@(64x512x16x16)(int32 4x1)(int32 4x1)->(64x512x14x14)	384.19	244.93	1.5685706120115952	384.19	244.93	1.5685706120115952	1.00	1.00	1.0	691576.7099999998	0.0005454255711447884	0.9818153050370488	683298.9400000008	0.00035066458404956694	0.978274358292615
Relu@GPU-0@(64x256x28x28)(256x1)(256x1)(256x1)(256x1)->(64x256x28x28)	381.52	376.71	1.0127684425685541	381.52	376.71	1.0127684425685541	1.00	1.00	1.0	691958.2299999999	0.0005416350344963681	0.9823569400715452	683675.6500000007	0.000539333097037163	0.9788136913896521
MEMCPYDtoH@GPU-0@(Transfer)->(8 bytes)	375.86	383.17	0.9809223060260459	379.62	387.00	0.9809302325581395	1.01	1.01	1.0	692337.8499999999	0.0005389376488664061	0.9828958777204115	684062.6500000007	0.0005540652187448757	0.979367756608397
Mean@GPU-0@(64x2048x7x7)(int32 2x1)->(64x2048x1x1)	365.05	298.27	1.2238911053743253	365.05	298.27	1.2238911053743253	1.00	1.00	1.0	692702.8999999999	0.0005182529601145397	0.9834141306805261	684360.9200000007	0.00042703109249362807	0.9797947877008907
MEMCPYDtoD@GPU-0@(Transfer)->(8 bytes)	363.85	477.99	0.7612083934810352	363.85	477.99	0.7612083934810352	1.00	1.00	1.0	693066.7499999999	0.0005165493481377216	0.9839306800286638	684838.9100000007	0.0006843349713381476	0.9804791226722288
ApplyMomentum@GPU-0@(1x1x1024x256)(1x1x1024x256)(1x1)(int32 1x1)(1x1x1024x256)(1x1)->(1x1x1024x256)	71.68	76.02	0.9429097605893187	358.39	380.09	0.9429082585703387	5.00	5.00	1.0	693425.1399999999	0.0005087979136431993	0.984439477942307	685219.0000000007	0.0005441722196194826	0.9810232948918483
ApplyMomentum@GPU-0@(1x1x2048x512)(1x1x2048x512)(1x1)(int32 1x1)(1x1x2048x512)(1x1)->(1x1x2048x512)	175.75	179.71	0.9779644983584663	351.49	359.41	0.9779638852563923	2.00	2.00	1.0	693776.6299999999	0.0004990021447764952	0.9849384800870835	685578.4100000007	0.0005145648068968883	0.9815378596987452
Mul@GPU-0@(1x1x256x512)(1x1)->(1x1x256x512)	346.15	577.17	0.5997366460488245	346.15	577.17	0.5997366460488245	1.00	1.00	1.0	694122.7799999999	0.0004914210714796546	0.9854299011585632	686155.5800000008	0.0008263302901885785	0.9823641899889337
AddN@GPU-0@(3x3x128x128)(3x3x128x128)->(3x3x128x128)	85.90	51.13	1.6800312927831018	343.61	204.52	1.6800801877566987	4.00	4.00	1.0	694466.3899999999	0.00048781509279538965	0.9859177162513586	686360.1000000008	0.00029280986702248576	0.9826569998559562
AddN@GPU-0@(64x2048x7x7)(2048x1)(2048x1)(1x1)(1x1)(64x2048x7x7)(2048x1)(2048x1)(1x1)(1x1)->(64x2048x7x7)	342.10	411.38	0.8315912295201517	342.10	411.38	0.8315912295201517	1.00	1.00	1.0	694808.4899999999	0.00048567138105789354	0.9864033876324165	686771.4800000008	0.0005889698958327312	0.9832459697517889
