conv2:Relu	/device:GPU:0/stream:all	0	943	943	['(no output)']	
conv3	/job:localhost/replica:0/task:0/device:GPU:0	0	8	10	['(128x384x13x13)']	conv3 = Relu(conv3/BiasAdd)
conv3-1-0-TransposeNCHWToNHWC-LayoutOptimizer	/job:localhost/replica:0/task:0/device:GPU:0	0	9	11	['(128x13x13x384)']	[GPU_0_bfc 34.2MB 34.2MB] conv3-1-0-TransposeNCHWToNHWC-LayoutOptimizer = Transpose(conv3, PermConstNCHWToNHWC-LayoutOptimizer)
conv3-1-0-TransposeNCHWToNHWC-LayoutOptimizer:Transpose	/device:GPU:0/stream:13	0	442	442	['(no output)']	
conv3-1-0-TransposeNCHWToNHWC-LayoutOptimizer:Transpose	/device:GPU:0/stream:all	0	442	442	['(no output)']	
conv3/BiasAdd	/job:localhost/replica:0/task:0/device:GPU:0	0	10	12	['(128x384x13x13)']	conv3/BiasAdd = BiasAdd(conv3/Conv2D, conv3/biases/read)
conv3/BiasAdd:BiasAdd	/device:GPU:0/stream:13	0	532	532	['(no output)']	
conv3/BiasAdd:BiasAdd	/device:GPU:0/stream:all	0	532	532	['(no output)']	
conv3/Conv2D	/job:localhost/replica:0/task:0/device:GPU:0	0	74	77	['(128x384x13x13)']	[GPU_0_bfc 284.4MB 284.4MB] conv3/Conv2D = Conv2D(pool2, conv3/weights/read)
conv3/Conv2D:Conv2D	/device:GPU:0/stream:13	0	89	89	['(no output)']	
conv3/Conv2D:Conv2D	/device:GPU:0/stream:13	0	220	220	['(no output)']	
conv3/Conv2D:Conv2D	/device:GPU:0/stream:13	0	716	716	['(no output)']	
conv3/Conv2D:Conv2D	/device:GPU:0/stream:13	0	768	768	['(no output)']	
conv3/Conv2D:Conv2D	/device:GPU:0/stream:13	0	2781	2781	['(no output)']	
conv3/Conv2D:Conv2D	/device:GPU:0/stream:18	0	377	377	['(no output)']	
conv3/Conv2D:Conv2D	/device:GPU:0/stream:all	0	89	89	['(no output)']	
conv3/Conv2D:Conv2D	/device:GPU:0/stream:all	0	220	220	['(no output)']	
