Op	System_1 time per call	System_2 time per call	Time ratio Sys1/Sys2 (one call)	System_1 total op time	System_2 total op time	Time ratio Sys1/Sys2 (all calls)	System_1 occurence	System_2 occurence	Occurence Ratio	System1 cumulative time	System1 % of total time 	System1 cumulative % of total time 	System2 cumulative time	System2 % of total time 	System2 cumulative % of total time 
Conv2D@GPU-0@(128x64x27x27)(5x5x64x192)->(128x192x27x27)	4626.85	4645.94	0.9958910360443743	4626.85	4645.94	0.9958910360443743	1.00	1.00	1.0	173135.63000000003	0.020618211689367626	0.771528592954608	173636.01	0.020634343256688583	0.7711819420960692
Conv2DBackpropInput@GPU-0@(int32 4x1)(5x5x64x192)(128x192x27x27)->(128x64x27x27)	4548.08	4577.89	0.99348826642842	4548.08	4577.89	0.99348826642842	1.00	1.00	1.0	177683.71000000002	0.020267196088089977	0.791795789042698	178213.90000000002	0.020332107959070093	0.7915140500551393
Conv2D@GPU-0@(128x256x13x13)(3x3x256x256)->(128x256x13x13)	4208.04	4241.89	0.992020066526949	4208.04	4241.89	0.992020066526949	1.00	1.00	1.0	181891.75000000003	0.01875190670052553	0.8105476957432235	182455.79000000004	0.018839807297794366	0.8103538573529336
Transpose@GPU-0@(128x64x56x56)(int32 4x1)->(128x56x56x64)	1356.31	1361.53	0.9961660778682805	4068.93	4084.59	0.9961660778682805	3.00	3.00	1.0	185960.68000000002	0.018132003434133074	0.8286796991773566	186540.38000000003	0.018141179637024506	0.8284950369899582
Conv2DBackpropInput@GPU-0@(int32 4x1)(3x3x256x256)(128x256x13x13)->(128x256x13x13)	4050.30	4072.52	0.994543918753008	4050.30	4072.52	0.994543918753008	1.00	1.00	1.0	190010.98	0.018048984256123647	0.8467286834334803	190612.90000000002	0.018087572288864987	0.8465826092788232
MaxPoolGrad@GPU-0@(128x64x56x56)(128x64x27x27)(128x64x27x27)->(128x64x56x56)	3041.08	3045.69	0.9984863856794355	3041.08	3045.69	0.9984863856794355	1.00	1.00	1.0	193052.06	0.013551688774069204	0.8602803722075495	193658.59000000003	0.013527039288812137	0.8601096485676354
Transpose@GPU-0@(128x192x27x27)(int32 4x1)->(128x27x27x192)	948.84	958.90	0.9895088121806237	2846.53	2876.69	0.98951572814589	3.00	3.00	1.0	195898.59	0.012684733267803285	0.8729651054753528	196535.28000000003	0.01277644758715857	0.872886096154794
Transpose@GPU-0@(128x56x56x64)(int32 4x1)->(128x64x56x56)	1366.59	1369.40	0.9979480064261719	2733.18	2738.80	0.9979480064261719	2.00	2.00	1.0	198631.77	0.012179621951251024	0.8851447274266038	199274.08000000002	0.01216402693780348	0.8850501230925975
ReluGrad@GPU-0@(128x64x56x56)(128x64x56x56)->(128x64x56x56)	1977.59	1992.65	0.9924422251775273	1977.59	1992.65	0.9924422251775273	1.00	1.00	1.0	200609.36	0.008812554816943822	0.8939572822435476	201266.73	0.008850097954437747	0.8939002210470351
Transpose@GPU-0@(128x27x27x192)(int32 4x1)->(128x192x27x27)	954.60	959.15	0.9952562164416411	1909.20	1918.31	0.9952510282488233	2.00	2.00	1.0	202518.56	0.008507794667503954	0.9024650769110516	203185.04	0.008519926433130492	0.9024201474801656
Transpose@GPU-0@(128x224x224x3)(int32 4x1)->(128x3x224x224)	1866.45	1870.50	0.9978348035284683	1866.45	1870.50	0.9978348035284683	1.00	1.00	1.0	204385.01	0.00831729172279633	0.910782368633848	205055.54	0.0083075844848698	0.9107277319650354
BiasAdd@GPU-0@(128x64x56x56)(64x1)->(128x64x56x56)	1713.54	1721.21	0.9955438325364133	1713.54	1721.21	0.9955438325364133	1.00	1.00	1.0	206098.55000000002	0.007635892768989485	0.9184182614028374	206776.75	0.007644532205935711	0.9183722641709712
ReluGrad@GPU-0@(128x192x27x27)(128x192x27x27)->(128x192x27x27)	1383.94	1393.49	0.9931467036003129	1383.94	1393.49	0.9931467036003129	1.00	1.00	1.0	207482.49000000002	0.0061671262058167935	0.9245853876086543	208170.24	0.006189006096669991	0.9245612702676411
Relu@GPU-0@(128x64x56x56)->(128x64x56x56)	1344.04	1353.57	0.9929593593238621	1344.04	1353.57	0.9929593593238621	1.00	1.00	1.0	208826.53000000003	0.005989323457423011	0.9305747110660773	209523.81	0.006011706565723183	0.9305729768333643
MaxPoolGrad@GPU-0@(128x192x27x27)(128x192x13x13)(128x192x13x13)->(128x192x27x27)	1298.45	1300.02	0.9987923262719035	1298.45	1300.02	0.9987923262719035	1.00	1.00	1.0	210124.98000000004	0.0057861648784938765	0.9363608759445712	210823.83	0.005773871147832364	0.9363468479811966
MaxPool@GPU-0@(128x64x56x56)->(128x64x27x27)	1235.07	1238.95	0.9968683159126679	1235.07	1238.95	0.9968683159126679	1.00	1.00	1.0	211360.05000000005	0.005503730337310972	0.9418646062818822	212062.78	0.005502636619903469	0.9418494846011001
BiasAdd@GPU-0@(128x192x27x27)(192x1)->(128x192x27x27)	1183.39	1190.38	0.9941279255363833	1183.39	1190.38	0.9941279255363833	1.00	1.00	1.0	212543.44000000006	0.005273433444153313	0.9471380397260355	213253.16	0.005286919229670844	0.9471364038307709
Relu@GPU-0@(128x192x27x27)->(128x192x27x27)	936.94	937.34	0.9995732605031259	936.94	937.34	0.9995732605031259	1.00	1.00	1.0	213480.38000000006	0.0041752006786984885	0.951313240404734	214190.5	0.004163074707857716	0.9512994785386286
MaxPool@GPU-0@(128x192x27x27)->(128x192x13x13)	895.72	899.14	0.9961963654158419	895.72	899.14	0.9961963654158419	1.00	1.00	1.0	214376.10000000006	0.003991515734117244	0.9553047561388512	215089.64	0.003993414335057916	0.9552928928736866
Transpose@GPU-0@(128x384x13x13)(int32 4x1)->(128x13x13x384)	442.56	445.18	0.994114740105126	885.13	890.36	0.9941259715171391	2.00	2.00	1.0	215261.23000000007	0.0039443244783405485	0.9592490806171918	215980.0	0.003954419097540057	0.9592473119712266
Transpose@GPU-0@(128x256x13x13)(int32 4x1)->(128x13x13x256)	294.38	294.63	0.9991514781251061	883.15	883.89	0.9991627917501047	3.00	3.00	1.0	216144.38000000006	0.003935501184059353	0.9631845818012512	216863.89	0.003925683427068467	0.963172995398295
ReluGrad@GPU-0@(128x256x13x13)(128x256x13x13)->(128x256x13x13)	427.50	428.55	0.9975498774938747	855.01	857.10	0.9975615447439038	2.00	2.00	1.0	216999.39000000007	0.003810103456244791	0.966994685257496	217720.99000000002	0.003806699097557822	0.9669796944958529
MaxPoolGrad@GPU-0@(128x256x13x13)(128x256x6x6)(128x256x6x6)->(128x256x13x13)	799.92	798.20	1.00215484840892	799.92	798.20	1.00215484840892	1.00	1.00	1.0	217799.31000000008	0.0035646108896028508	0.9705592961470988	218519.19000000003	0.003545102344732999	0.9705247968405859
BiasAddGrad@GPU-0@(128x56x56x64)->(64x1)	754.93	755.46	0.9992984406851454	754.93	755.46	0.9992984406851454	1.00	1.00	1.0	218554.24000000008	0.0033641260362134713	0.9739234221833123	219274.65000000002	0.0033552781475219137	0.9738800749881078
BiasAdd@GPU-0@(128x256x13x13)(256x1)->(128x256x13x13)	363.80	367.78	0.9891783131219752	727.59	735.56	0.9891647180379576	2.00	2.00	1.0	219281.83000000007	0.0032422932757852512	0.9771657154590976	220010.21000000002	0.003266894864309452	0.9771469698524172
ReluGrad@GPU-0@(128x384x13x13)(128x384x13x13)->(128x384x13x13)	656.93	657.00	0.9998934550989345	656.93	657.00	0.9998934550989345	1.00	1.00	1.0	219938.76000000007	0.0029274175313866394	0.9800931329904842	220667.21000000002	0.0029179807573159362	0.9800649506097332
Relu@GPU-0@(128x256x13x13)->(128x256x13x13)	290.46	291.36	0.9969110378912684	580.92	582.71	0.9969281460760926	2.00	2.00	1.0	220519.68000000008	0.0025887010675918693	0.9826818340580761	221249.92	0.002588031304559466	0.9826529819142926
BiasAdd@GPU-0@(128x384x13x13)(384x1)->(128x384x13x13)	544.91	546.75	0.9966346593507087	544.91	546.75	0.9966346593507087	1.00	1.00	1.0	221064.59000000008	0.0024282329731141732	0.9851100670311902	221796.67	0.002428319602834837	0.9850813015171275
BiasAddGrad@GPU-0@(128x27x27x192)->(192x1)	491.57	491.72	0.9996949483445863	491.57	491.72	0.9996949483445863	1.00	1.00	1.0	221556.1600000001	0.0021905387726298547	0.9873006058038201	222288.39	0.0021839109558407796	0.9872652124729683
Relu@GPU-0@(128x384x13x13)->(128x384x13x13)	435.28	441.60	0.9856884057971014	435.28	441.60	0.9856884057971014	1.00	1.00	1.0	221991.4400000001	0.0019396987549084017	0.9892403045587285	222729.99000000002	0.0019613094405338165	0.9892265219135021
BiasAddGrad@GPU-0@(128x13x13x256)->(256x1)	170.75	170.97	0.9987132245423174	341.51	341.95	0.9987132621728323	2.00	2.00	1.0	222332.9500000001	0.0015218400151368505	0.9907621445738654	223071.94000000003	0.0015187268188191542	0.9907452487323213
Transpose@GPU-0@(128x64x27x27)(int32 4x1)->(128x27x27x64)	316.19	316.24	0.9998418922337465	316.19	316.24	0.9998418922337465	1.00	1.00	1.0	222649.1400000001	0.0014090087973591427	0.9921711533712245	223388.18000000002	0.0014045391700054667	0.9921497879023268
MEMCPYDtoH@GPU-0@(Transfer)->(3538944 bytes)	301.27	303.67	0.9920966839002864	301.27	303.67	0.9920966839002864	1.00	1.00	1.0	222950.4100000001	0.0013425221556038738	0.9935136755268283	223691.85000000003	0.001348711136338098	0.9934984990386648
MaxPool@GPU-0@(128x256x13x13)->(128x256x6x6)	271.45	272.87	0.9947960567303111	271.45	272.87	0.9947960567303111	1.00	1.00	1.0	223221.8600000001	0.0012096379962779952	0.9947233135231064	223964.72000000003	0.0012119169090544894	0.9947104159477194
MEMCPYDtoH@GPU-0@(Transfer)->(2654208 bytes)	259.26	262.65	0.9870930896630498	259.26	262.65	0.9870930896630498	1.00	1.00	1.0	223481.1200000001	0.0011553168057286166	0.9958786303288351	224227.37000000002	0.0011665260972740191	0.9958769420449933
BiasAddGrad@GPU-0@(128x13x13x384)->(384x1)	258.87	260.32	0.9944299323909035	258.87	260.32	0.9944299323909035	1.00	1.00	1.0	223739.9900000001	0.0011535788841277753	0.9970322092129629	224487.69000000003	0.0011561777028074344	0.9970331197478007
MEMCPYDtoH@GPU-0@(Transfer)->(2359296 bytes)	244.36	247.27	0.9882314878472924	244.36	247.27	0.9882314878472924	1.00	1.00	1.0	223984.3500000001	0.0010889192881580066	0.9981211285011209	224734.96000000002	0.001098217811052529	0.9981313375588533
Transpose@GPU-0@(128x192x13x13)(int32 4x1)->(128x13x13x192)	220.04	220.40	0.9983666061705988	220.04	220.40	0.9983666061705988	1.00	1.00	1.0	224204.3900000001	0.0009805442796132254	0.9991016727807341	224955.36000000002	0.0009788781718606276	0.9991102157307139
MEMCPYDtoH@GPU-0@(Transfer)->(1228800 bytes)	104.69	104.71	0.9998089962754274	104.69	104.71	0.9998089962754274	1.00	1.00	1.0	224309.0800000001	0.00046652054459511255	0.9995681933253292	225060.07	0.0004650559590541121	0.999575271689768
VariableV2@GPU-0@(no input)->(256x1)	8.84	9.26	0.9546436285097192	17.67	18.52	0.9541036717062636	2.00	2.00	1.0	224326.75000000012	7.874121714581756e-05	0.999646934542475	225078.59	8.22541912107932e-05	0.9996575258809788
Const@GPU-0@(no input)->(int32 4x1)	1.10	1.00	1.1	12.09	11.05	1.0941176470588234	11.00	11.00	1.0	224338.8400000001	5.387556962608569e-05	0.9997008101121011	225089.63999999998	4.907714972350243e-05	0.9997066030307022
MEMCPYDtoH@GPU-0@(Transfer)->(92928 bytes)	7.09	7.24	0.979281767955801	7.09	7.24	0.979281767955801	1.00	1.00	1.0	224345.9300000001	3.159452346145141e-05	0.9997324046355626	225096.87999999998	3.2155526153679415e-05	0.9997387585568559
